Intersections_Entries,Latitude,Longitude,Altitude,Origin
0,27.822788136571795,-162.96165970275248,5686.1938503696865,true
1,27.842638887076735,-162.96959765703127,11351.367017234978,false
2,27.84125111627974,-162.9727338157815,11338.793089727596,false
3,27.845831507747118,-162.96165970240003,11382.96925220901,false
4,27.844160485721055,-162.96593302500975,11365.989044942358,false
5,27.847661111681585,-162.9566862762409,11402.657199851503,false
6,27.84966748021691,-162.95091040020435,11425.450068032444,false
7,27.851867228643663,-162.94421608583013,11451.7979799769,false
8,27.85692445817261,-162.9275303273828,11517.272349874029,false
9,27.85427735563473,-162.9364737019893,11482.204521725296,false
